fecha,semana,dia_semana,clima,fatiga,congestion,backlog,dotacion,variabilidad
11/11/2024,1,Lunes,44.7708194,41.266535,37.54548044,48.32027391,81.79577708,19.58686566
11/12/2024,1,Martes,43.57825614,38.66175784,40.14841243,44.54119479,81.90100551,19.31404834
11/13/2024,1,Miércoles,46.01100362,39.94215023,40.53933871,44.53988713,81.41543108,21.44508016
11/14/2024,1,Jueves,45.91985805,41.21502865,38.11126244,45.64649153,82.49840353,20.98280913
11/15/2024,1,Viernes,42.93856499,39.90046698,40.74995588,43.48520097,77.28345761,19.36780426
11/16/2024,1,Sábado,43.51833518,39.97142194,36.81719071,46.12940213,78.73078993,21.99150447
11/17/2024,1,Domingo,44.44620232,39.94922191,39.65393024,43.62368062,84.94455892,19.00826764
11/18/2024,2,Lunes,52.04704304,39.81274211,45.74426278,50.95774433,77.95164605,20.85799056
11/19/2024,2,Martes,49.47335619,41.193421,49.80405256,49.95479382,79.04977756,25.56325018
11/20/2024,2,Miércoles,48.24736266,42.07532047,44.46162774,49.82772311,77.64197607,20.53624583
11/21/2024,2,Jueves,50.39082057,39.87473445,46.97776547,51.24661961,77.01307437,21.11003336
11/22/2024,2,Viernes,50.55102112,40.40290937,48.62396025,50.71585146,78.7865263,23.36289016
11/23/2024,2,Sábado,48.84107345,44.17801996,45.22906673,51.90029094,77.60409375,24.63455645
11/24/2024,2,Domingo,50.80268725,46.36501405,44.26095677,50.40909879,75.93684751,20.94140352
11/25/2024,3,Lunes,56.2373731,47.25864888,55.9300207,54.80674219,75.13357318,26.50665152
11/26/2024,3,Martes,52.74434556,46.12855478,48.99548857,55.42318994,79.1820922,24.77853314
11/27/2024,3,Miércoles,56.86575817,46.7463171,46.27133694,53.19679851,73.87638628,29.00347421
11/28/2024,3,Jueves,54.78921615,48.56165843,46.73409544,53.85446315,78.60099648,25.35854921
11/29/2024,3,Viernes,56.06571979,42.49238353,52.75360699,56.55403219,77.80325101,23.62877944
11/30/2024,3,Sábado,55.64760026,44.41702004,46.69901758,54.8991543,76.6865392,27.12480302
12/1/2024,3,Domingo,50.53114712,45.47039966,47.6888639,55.63844668,77.74856011,24.82631045
12/2/2024,4,Lunes,61.61458625,45.50846788,57.2154409,58.58384227,72.8882027,27.45520806
12/3/2024,4,Martes,55.80968495,48.50834778,54.48149911,62.46737384,77.29784842,25.21600733
12/4/2024,4,Miércoles,58.32322502,49.04132884,56.69415802,62.44500183,78.42901857,27.82095478
12/5/2024,4,Jueves,60.72531124,50.59747701,54.39338308,60.75945237,75.34623844,26.89810377
12/6/2024,4,Viernes,60.09677024,46.6249131,54.73816805,57.93009027,75.62001123,28.89678059
12/7/2024,4,Sábado,58.82247293,48.01858351,55.27868519,60.90506978,75.73284032,30.17173268
12/8/2024,4,Domingo,55.79816228,53.87550569,53.25773247,60.80678005,74.12306418,29.28853632
12/9/2024,5,Lunes,65.55313831,53.69857293,67.14617469,69.67207824,73.09443188,30.16568039
12/10/2024,5,Martes,64.93822473,59.00681453,66.92593106,70.61524151,71.10215834,32.13499707
12/11/2024,5,Miércoles,65.39513198,55.89845687,62.84667898,71.33681592,69.8208138,35.2622517
12/12/2024,5,Jueves,63.45674336,55.59325664,67.01028515,69.49523991,72.68120004,34.8703631
12/13/2024,5,Viernes,66.12880598,55.71110126,61.63042921,68.13255549,74.09384026,33.13990061
12/14/2024,5,Sábado,66.44293255,56.27079386,67.57951306,69.47720015,72.24099992,29.94265133
12/15/2024,5,Domingo,62.44395483,51.71251857,63.229673,73.10512363,68.89454586,31.39292803
12/16/2024,6,Lunes,67.41370935,56.79805207,70.33938758,73.59976825,72.17932973,38.06795624
12/17/2024,6,Martes,65.50180854,56.63401534,70.11828424,77.25223405,69.09151145,34.96012921
12/18/2024,6,Miércoles,67.68651155,54.9344083,72.89076938,71.35186025,74.65723802,36.4503028
12/19/2024,6,Jueves,71.35994615,59.15093733,69.49462862,75.78416906,69.62220662,36.10614655
12/20/2024,6,Viernes,69.93262695,56.09930363,68.25885477,73.03145525,71.94180146,33.76510678
12/21/2024,6,Sábado,66.17579368,58.79367733,73.02903513,76.54616638,68.79335287,31.82637657
12/22/2024,6,Domingo,69.73146379,57.68155224,68.06160078,76.1020746,73.693253,35.44456543
12/23/2024,7,Lunes,72.32095241,58.1255439,77.79482941,77.84971167,66.84207349,38.12737679
12/24/2024,7,Martes,72.94392267,60.27843082,77.41230679,78.76794311,67.43211638,38.80238443
12/25/2024,7,Miércoles,72.9992742,57.40724816,77.29883946,77.39819196,67.44935355,39.50275197
